[000.00 - 004.10] dựa trên cơ sở lý luận của chủ
[004.10 - 006.00] nghĩa mác-lênin về dân tộc và tôn giáo
[006.00 - 008.00] những bài liên hệ với thực tiễn ở
[008.00 - 009.50] Việt Nam và thực hiện các nhiệm vụ
[009.50 - 011.50] cụ thể của sinh viên từ giao lưu
[011.50 - 015.00] văn hóa chương trình chính sách tình nguyện
[015.00 - 017.00] vùng dân tộc thiểu số đến thực hành
[017.00 - 019.90] đoàn kết trong dãy được xây dựng khối
[019.90 - 021.40] đại đoàn kết toàn dân tộc có phải
[021.40 - 022.90] là 0 nhiễm sắc về mặt tự nhiên
[022.90 - 025.60] hoạt động hàng ngày của những bài Xin
[025.60 - 026.90] cảm ơn thầy cô và các bạn đã
[026.90 - 027.30] lắng nghe
